log_file,request_id,timestamp,model,prompt_category,parameter,type,format,location,required,enum,minimum,maximum,min_length,max_length,pattern,response_index,value
llm-communication-20260427-223414.log,1,2026-04-27 22:34:19.596,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,0,2026-05-18T23:34:19Z
llm-communication-20260427-223414.log,1,2026-04-27 22:34:19.596,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,1,2026-05-07T23:34:19Z
llm-communication-20260427-223414.log,1,2026-04-27 22:34:19.596,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,2,2026-05-12T23:34:19Z
llm-communication-20260427-223414.log,1,2026-04-27 22:34:19.596,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,3,2026-05-22T23:34:19Z
llm-communication-20260427-223414.log,1,2026-04-27 22:34:19.596,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,4,2026-05-01T23:34:19Z
llm-communication-20260427-223414.log,2,2026-04-27 22:34:26.671,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,0,2026-04-28T10:34:26Z
llm-communication-20260427-223414.log,2,2026-04-27 22:34:26.671,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,1,2026-04-29T10:34:26Z
llm-communication-20260427-223414.log,2,2026-04-27 22:34:26.671,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,2,2026-04-30T10:34:26Z
llm-communication-20260427-223414.log,2,2026-04-27 22:34:26.671,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,3,2026-05-01T10:34:26Z
llm-communication-20260427-223414.log,2,2026-04-27 22:34:26.671,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,4,2026-05-02T10:34:26Z
llm-communication-20260427-223414.log,2,2026-04-27 22:34:26.671,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,5,2026-05-03T10:34:26Z
llm-communication-20260427-223414.log,2,2026-04-27 22:34:26.671,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,6,2026-05-04T10:34:26Z
llm-communication-20260427-223414.log,2,2026-04-27 22:34:26.671,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,7,2026-05-05T10:34:26Z
llm-communication-20260427-223414.log,2,2026-04-27 22:34:26.671,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,8,2026-05-06T10:34:26Z
llm-communication-20260427-223414.log,2,2026-04-27 22:34:26.671,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,9,2026-05-07T10:34:26Z
llm-communication-20260427-223414.log,3,2026-04-27 22:34:38.384,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,0,2026-04-30T10:34:38Z
llm-communication-20260427-223414.log,3,2026-04-27 22:34:38.384,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,1,2026-05-05T10:34:38Z
llm-communication-20260427-223414.log,3,2026-04-27 22:34:38.384,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,2,2026-05-15T10:34:38Z
llm-communication-20260427-223414.log,3,2026-04-27 22:34:38.384,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,3,2026-05-20T10:34:38Z
llm-communication-20260427-223414.log,3,2026-04-27 22:34:38.384,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,4,2026-05-25T10:34:38Z
llm-communication-20260427-223414.log,4,2026-04-27 22:34:44.837,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,0,2026-05-08T10:34:44Z
llm-communication-20260427-223414.log,4,2026-04-27 22:34:44.837,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,1,2026-05-09T10:34:44Z
llm-communication-20260427-223414.log,4,2026-04-27 22:34:44.837,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,2,2026-05-10T10:34:44Z
llm-communication-20260427-223414.log,4,2026-04-27 22:34:44.837,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,3,2026-05-11T10:34:44Z
llm-communication-20260427-223414.log,4,2026-04-27 22:34:44.837,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,4,2026-05-12T10:34:44Z
llm-communication-20260427-223414.log,4,2026-04-27 22:34:44.837,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,5,2026-05-13T10:34:44Z
llm-communication-20260427-223414.log,4,2026-04-27 22:34:44.837,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,6,2026-05-14T10:34:44Z
llm-communication-20260427-223414.log,4,2026-04-27 22:34:44.837,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,7,2026-05-15T10:34:44Z
llm-communication-20260427-223414.log,4,2026-04-27 22:34:44.837,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,8,2026-05-16T10:34:44Z
