log_file,request_id,model,prompt_category,parameter,type,format,value,status,violations
llm-communication-20260427-223414.log,1,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-18T23:34:19Z,valid,
llm-communication-20260427-223414.log,1,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-07T23:34:19Z,valid,
llm-communication-20260427-223414.log,1,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-12T23:34:19Z,valid,
llm-communication-20260427-223414.log,1,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-22T23:34:19Z,valid,
llm-communication-20260427-223414.log,1,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-01T23:34:19Z,valid,
llm-communication-20260427-223414.log,2,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-04-28T10:34:26Z,valid,
llm-communication-20260427-223414.log,2,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-04-29T10:34:26Z,valid,
llm-communication-20260427-223414.log,2,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-04-30T10:34:26Z,valid,
llm-communication-20260427-223414.log,2,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-01T10:34:26Z,valid,
llm-communication-20260427-223414.log,2,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-02T10:34:26Z,valid,
llm-communication-20260427-223414.log,2,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-03T10:34:26Z,valid,
llm-communication-20260427-223414.log,2,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-04T10:34:26Z,valid,
llm-communication-20260427-223414.log,2,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-05T10:34:26Z,valid,
llm-communication-20260427-223414.log,2,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-06T10:34:26Z,valid,
llm-communication-20260427-223414.log,2,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-07T10:34:26Z,valid,
llm-communication-20260427-223414.log,3,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-04-30T10:34:38Z,valid,
llm-communication-20260427-223414.log,3,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-05T10:34:38Z,valid,
llm-communication-20260427-223414.log,3,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-15T10:34:38Z,valid,
llm-communication-20260427-223414.log,3,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-20T10:34:38Z,valid,
llm-communication-20260427-223414.log,3,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-25T10:34:38Z,valid,
llm-communication-20260427-223414.log,4,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-08T10:34:44Z,valid,
llm-communication-20260427-223414.log,4,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-09T10:34:44Z,valid,
llm-communication-20260427-223414.log,4,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-10T10:34:44Z,valid,
llm-communication-20260427-223414.log,4,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-11T10:34:44Z,valid,
llm-communication-20260427-223414.log,4,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-12T10:34:44Z,valid,
llm-communication-20260427-223414.log,4,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-13T10:34:44Z,valid,
llm-communication-20260427-223414.log,4,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-14T10:34:44Z,valid,
llm-communication-20260427-223414.log,4,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-15T10:34:44Z,valid,
llm-communication-20260427-223414.log,4,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-16T10:34:44Z,valid,
llm-communication-20260427-223414.log,4,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-17T10:34:44Z,valid,
llm-communication-20260427-223414.log,5,qwen2.5-coder:14b,positive_gen,enableBoughtDateQuery,boolean,,true,valid,
llm-communication-20260427-223414.log,5,qwen2.5-coder:14b,positive_gen,enableBoughtDateQuery,boolean,,false,valid,
llm-communication-20260427-223414.log,5,qwen2.5-coder:14b,positive_gen,enableBoughtDateQuery,boolean,,true,valid,
llm-communication-20260427-223414.log,5,qwen2.5-coder:14b,positive_gen,enableBoughtDateQuery,boolean,,false,valid,
llm-communication-20260427-223414.log,5,qwen2.5-coder:14b,positive_gen,enableBoughtDateQuery,boolean,,true,valid,
llm-communication-20260427-223414.log,6,qwen2.5-coder:14b,positive_gen,enableBoughtDateQuery,boolean,,true,valid,
