scenario,test_method,test_kind,step_idx,http_method,path,parameter,stem,value,provenance,classification
Flow_Scenario_1,test_positive_flow_S1_v1,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,bob_brown101,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v3,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,user123,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v4,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,grace_purple606,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v5,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,frank_orange505,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v6,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,user123,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v8,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,dave_green303,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v10,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,bob_brown101,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v11,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,bob_brown101,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v12,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,eve_black404,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v13,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,john_doe456,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v14,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,bob_brown101,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v16,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,hank_blue707,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v17,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,jane_doe67890,SMART_FETCH,smart_fetch
Flow_Scenario_1,test_positive_flow_S1_v18,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,frank_orange505,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v19,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,john_doe456,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v7_explore_429,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,eve_black404,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v9_explore_500,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,invalidUser,UNKNOWN,unknown
Flow_Scenario_2319,test_positive_flow_S2319_v50,positive,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,train-fghij,SMART_FETCH,smart_fetch
Flow_Scenario_2685,test_positive_flow_S2685_v1,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,SMART_FETCH,smart_fetch
Flow_Scenario_2685,test_positive_flow_S2685_v1,positive,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,LLM,llm
Flow_Scenario_2685,test_positive_flow_S2685_v1,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,LLM,llm
Flow_Scenario_2685,test_positive_flow_S2685_v2,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,```,LLM,llm
Flow_Scenario_2685,test_positive_flow_S2685_v2,positive,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,LLM,llm
Flow_Scenario_2685,test_positive_flow_S2685_v2,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD987654321,SMART_FETCH,smart_fetch
Flow_Scenario_2685,test_positive_flow_S2685_v3,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,SMART_FETCH,smart_fetch
Flow_Scenario_2685,test_positive_flow_S2685_v3,positive,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,LLM,llm
Flow_Scenario_2685,test_positive_flow_S2685_v3,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,LLM,llm
Flow_Scenario_2685,test_positive_flow_S2685_v4,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,SMART_FETCH,smart_fetch
Flow_Scenario_2685,test_positive_flow_S2685_v4,positive,2,PUT,/api/v1/consignservice/consigns,id,,train-67890,SMART_FETCH,smart_fetch
Flow_Scenario_2685,test_positive_flow_S2685_v4,positive,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,LLM,llm
Flow_Scenario_2685,test_positive_flow_S2685_v5,positive,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,SMART_FETCH,smart_fetch
Flow_Scenario_2685,test_positive_flow_S2685_v5,positive,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,LLM,llm
