scenario,test_method,step_idx,http_method,path,parameter,stem,value,resolvable
Flow_Scenario_1,test_positive_flow_S1_v1,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,bob_brown101,false
Flow_Scenario_1,test_positive_flow_S1_v3,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,user123,false
Flow_Scenario_1,test_positive_flow_S1_v4,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,grace_purple606,false
Flow_Scenario_1,test_positive_flow_S1_v5,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,frank_orange505,false
Flow_Scenario_1,test_positive_flow_S1_v6,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,user123,false
Flow_Scenario_1,test_positive_flow_S1_v8,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,dave_green303,false
Flow_Scenario_1,test_positive_flow_S1_v10,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,bob_brown101,false
Flow_Scenario_1,test_positive_flow_S1_v11,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,bob_brown101,false
Flow_Scenario_1,test_positive_flow_S1_v12,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,eve_black404,false
Flow_Scenario_1,test_positive_flow_S1_v13,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,john_doe456,false
Flow_Scenario_1,test_positive_flow_S1_v14,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,bob_brown101,false
Flow_Scenario_1,test_positive_flow_S1_v16,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,hank_blue707,false
Flow_Scenario_1,test_positive_flow_S1_v17,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,jane_doe67890,false
Flow_Scenario_1,test_positive_flow_S1_v18,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,frank_orange505,false
Flow_Scenario_1,test_positive_flow_S1_v19,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,john_doe456,false
Flow_Scenario_1,test_positive_flow_S1_v7_explore_429,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,eve_black404,false
Flow_Scenario_1,test_positive_flow_S1_v9_explore_500,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,invalidUser,false
Flow_Scenario_2319,test_positive_flow_S2319_v50,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,train-fghij,false
Flow_Scenario_2685,test_positive_flow_S2685_v1,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,false
Flow_Scenario_2685,test_positive_flow_S2685_v1,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v1,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,false
Flow_Scenario_2685,test_positive_flow_S2685_v2,2,PUT,/api/v1/consignservice/consigns,accountId,account,```,false
Flow_Scenario_2685,test_positive_flow_S2685_v2,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v2,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD987654321,false
Flow_Scenario_2685,test_positive_flow_S2685_v3,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,false
Flow_Scenario_2685,test_positive_flow_S2685_v3,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v3,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,false
Flow_Scenario_2685,test_positive_flow_S2685_v4,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,false
Flow_Scenario_2685,test_positive_flow_S2685_v4,2,PUT,/api/v1/consignservice/consigns,id,,train-67890,false
Flow_Scenario_2685,test_positive_flow_S2685_v4,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,false
Flow_Scenario_2685,test_positive_flow_S2685_v5,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,false
Flow_Scenario_2685,test_positive_flow_S2685_v5,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v5,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,false
Flow_Scenario_2685,test_positive_flow_S2685_v6,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,false
Flow_Scenario_2685,test_positive_flow_S2685_v6,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v6,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD456789123,false
Flow_Scenario_2685,test_positive_flow_S2685_v7,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,false
Flow_Scenario_2685,test_positive_flow_S2685_v7,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v7,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,false
Flow_Scenario_2685,test_positive_flow_S2685_v8,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,false
Flow_Scenario_2685,test_positive_flow_S2685_v8,2,PUT,/api/v1/consignservice/consigns,id,,train-abcde,false
Flow_Scenario_2685,test_positive_flow_S2685_v8,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,false
Flow_Scenario_2685,test_positive_flow_S2685_v9,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,false
Flow_Scenario_2685,test_positive_flow_S2685_v9,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v9,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD654321987,false
Flow_Scenario_2685,test_positive_flow_S2685_v10,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,false
Flow_Scenario_2685,test_positive_flow_S2685_v10,2,PUT,/api/v1/consignservice/consigns,id,,train-fghij,false
Flow_Scenario_2685,test_positive_flow_S2685_v10,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD111222333,false
Flow_Scenario_2685,test_positive_flow_S2685_v11,2,PUT,/api/v1/consignservice/consigns,accountId,account,f1e2d3c4-efgh-1234-5678-abcdef9014,false
Flow_Scenario_2685,test_positive_flow_S2685_v11,2,PUT,/api/v1/consignservice/consigns,id,,train-klmno,false
Flow_Scenario_2685,test_positive_flow_S2685_v11,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,false
Flow_Scenario_2685,test_positive_flow_S2685_v12,2,PUT,/api/v1/consignservice/consigns,accountId,account,e2b3f4a1-bcde-1234-5678-abcdef9012,false
Flow_Scenario_2685,test_positive_flow_S2685_v12,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v12,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,false
Flow_Scenario_2685,test_positive_flow_S2685_v13,2,PUT,/api/v1/consignservice/consigns,accountId,account,d4f2e3b1-cdef-1234-5678-abcdef9013,false
Flow_Scenario_2685,test_positive_flow_S2685_v13,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v13,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,false
Flow_Scenario_2685,test_positive_flow_S2685_v14,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,false
Flow_Scenario_2685,test_positive_flow_S2685_v14,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v14,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD987654321,false
Flow_Scenario_2685,test_positive_flow_S2685_v15,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,false
Flow_Scenario_2685,test_positive_flow_S2685_v15,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v15,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,false
Flow_Scenario_2685,test_positive_flow_S2685_v16,2,PUT,/api/v1/consignservice/consigns,accountId,account,c5d4e3f2-mnop-1234-5678-abcdef9016,false
Flow_Scenario_2685,test_positive_flow_S2685_v16,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v16,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,false
Flow_Scenario_2685,test_positive_flow_S2685_v17,2,PUT,/api/v1/consignservice/consigns,accountId,account,b4c3d2e1-opqr-1234-5678-abcdef9017,false
Flow_Scenario_2685,test_positive_flow_S2685_v17,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v17,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD456789123,false
Flow_Scenario_2685,test_positive_flow_S2685_v18,2,PUT,/api/v1/consignservice/consigns,accountId,account,a3b2c1d4-ijkl-1234-5678-abcdef9015,false
Flow_Scenario_2685,test_positive_flow_S2685_v18,2,PUT,/api/v1/consignservice/consigns,id,,train-67890,false
Flow_Scenario_2685,test_positive_flow_S2685_v18,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD654321987,false
Flow_Scenario_2685,test_positive_flow_S2685_v19,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,false
Flow_Scenario_2685,test_positive_flow_S2685_v19,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v19,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD123456789,false
Flow_Scenario_2685,test_positive_flow_S2685_v20,2,PUT,/api/v1/consignservice/consigns,accountId,account,1234567890,false
Flow_Scenario_2685,test_positive_flow_S2685_v20,2,PUT,/api/v1/consignservice/consigns,id,,train-12345,false
Flow_Scenario_2685,test_positive_flow_S2685_v20,2,PUT,/api/v1/consignservice/consigns,orderId,order,ORD111222333,false
Flow_Scenario_3472,test_positive_flow_S3472_v4,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-67890,false
Flow_Scenario_3472,test_positive_flow_S3472_v9,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-12345,false
Flow_Scenario_3472,test_positive_flow_S3472_v11,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-12345,false
Flow_Scenario_3472,test_positive_flow_S3472_v14,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-abcde,false
Flow_Scenario_3472,test_positive_flow_S3472_v15,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-12345,false
Flow_Scenario_3472,test_positive_flow_S3472_v22,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-12345,false
Flow_Scenario_3472,test_positive_flow_S3472_v30,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-12345,false
Flow_Scenario_3472,test_positive_flow_S3472_v35,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-12345,false
Flow_Scenario_3472,test_positive_flow_S3472_v40,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-12345,false
Flow_Scenario_3472,test_positive_flow_S3472_v49,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-12345,false
Flow_Scenario_3472,test_positive_flow_S3472_v55,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-67890,false
Flow_Scenario_3472,test_positive_flow_S3472_v57,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-fghij,false
Flow_Scenario_3472,test_positive_flow_S3472_v66,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-67890,false
Flow_Scenario_3472,test_positive_flow_S3472_v67,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-abcde,false
Flow_Scenario_3472,test_positive_flow_S3472_v70,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-12345,false
Flow_Scenario_3472,test_positive_flow_S3472_v73,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-67890,false
Flow_Scenario_3472,test_positive_flow_S3472_v74,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-abcde,false
Flow_Scenario_3472,test_positive_flow_S3472_v78,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-fghij,false
Flow_Scenario_3472,test_positive_flow_S3472_v79,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-12345,false
Flow_Scenario_3472,test_positive_flow_S3472_v82,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-12345,false
Flow_Scenario_3472,test_positive_flow_S3472_v83,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-fghij,false
Flow_Scenario_3472,test_positive_flow_S3472_v88,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-klmno,false
Flow_Scenario_3472,test_positive_flow_S3472_v89,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-12345,false
Flow_Scenario_3472,test_positive_flow_S3472_v97,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-abcde,false
Flow_Scenario_3472,test_positive_flow_S3472_v98,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-fghij,false
Flow_Scenario_3472,test_positive_flow_S3472_v99,2,PUT,/api/v1/adminbasicservice/adminbasic/trains,id,,train-12345,false
Flow_Scenario_3568,test_positive_flow_S3568_v1,2,POST,/api/v1/adminbasicservice/adminbasic/stations,id,,train-12345,false
Flow_Scenario_3568,test_positive_flow_S3568_v2,2,POST,/api/v1/adminbasicservice/adminbasic/stations,id,,train-12345,false
Flow_Scenario_3568,test_positive_flow_S3568_v3,2,POST,/api/v1/adminbasicservice/adminbasic/stations,id,,train-12345,false
Flow_Scenario_3568,test_positive_flow_S3568_v4,2,POST,/api/v1/adminbasicservice/adminbasic/stations,id,,train-67890,false
Flow_Scenario_3568,test_positive_flow_S3568_v5,2,POST,/api/v1/adminbasicservice/adminbasic/stations,id,,train-12345,false
Flow_Scenario_3568,test_positive_flow_S3568_v6,2,POST,/api/v1/adminbasicservice/adminbasic/stations,id,,train-abcde,false
Flow_Scenario_3568,test_positive_flow_S3568_v7,2,POST,/api/v1/adminbasicservice/adminbasic/stations,id,,train-fghij,false
