log_file,request_id,model,prompt_category,parameter,type,format,value,status,violations
llm-communication-20260424-161112.log,2,qwen2.5-coder:14b,simple_gen,boughtDateEnd,string,,2024-08-29,valid,
llm-communication-20260424-161112.log,4,qwen2.5-coder:14b,diverse_gen,boughtDateEnd,string,,2023-07-15,valid,
llm-communication-20260424-161112.log,4,qwen2.5-coder:14b,diverse_gen,boughtDateEnd,string,,2024-09-01,valid,
llm-communication-20260424-161112.log,4,qwen2.5-coder:14b,diverse_gen,boughtDateEnd,string,,2023-12-31,valid,
llm-communication-20260424-161112.log,4,qwen2.5-coder:14b,diverse_gen,boughtDateEnd,string,,2024-06-10,valid,
llm-communication-20260424-161112.log,4,qwen2.5-coder:14b,diverse_gen,boughtDateEnd,string,,2024-08-16,valid,
llm-communication-20260424-161112.log,4,qwen2.5-coder:14b,diverse_gen,boughtDateEnd,string,,2023-11-20,valid,
llm-communication-20260424-161112.log,4,qwen2.5-coder:14b,diverse_gen,boughtDateEnd,string,,2024-07-05,valid,
llm-communication-20260424-161112.log,4,qwen2.5-coder:14b,diverse_gen,boughtDateEnd,string,,2024-09-15,valid,
llm-communication-20260424-161112.log,4,qwen2.5-coder:14b,diverse_gen,boughtDateEnd,string,,2023-10-01,valid,
llm-communication-20260424-161112.log,5,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-01T16:11:29Z,valid,
llm-communication-20260424-161112.log,5,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-03T16:11:29Z,valid,
llm-communication-20260424-161112.log,5,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-07T16:11:29Z,valid,
llm-communication-20260424-161112.log,5,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-14T16:11:29Z,valid,
llm-communication-20260424-161112.log,5,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-20T16:11:29Z,valid,
llm-communication-20260424-161112.log,6,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-03T16:11:36Z,valid,
llm-communication-20260424-161112.log,6,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-04-27T16:11:36Z,valid,
llm-communication-20260424-161112.log,6,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-04-25T16:11:36Z,valid,
llm-communication-20260424-161112.log,6,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-04-28T16:11:36Z,valid,
llm-communication-20260424-161112.log,6,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-01T16:11:36Z,valid,
llm-communication-20260424-161112.log,6,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-04-29T16:11:36Z,valid,
llm-communication-20260424-161112.log,6,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-04-26T16:11:36Z,valid,
llm-communication-20260424-161112.log,6,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,2026-05-02T16:11:36Z,valid,
llm-communication-20260424-161112.log,7,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-04-25T04:11:45Z,valid,
llm-communication-20260424-161112.log,7,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-04-26T04:11:45Z,valid,
llm-communication-20260424-161112.log,7,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-04-27T04:11:45Z,valid,
llm-communication-20260424-161112.log,7,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-04-28T04:11:45Z,valid,
llm-communication-20260424-161112.log,7,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-04-29T04:11:45Z,valid,
llm-communication-20260424-161112.log,8,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-04T14:11:51Z,valid,
llm-communication-20260424-161112.log,8,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,2026-05-07T14:11:51Z,valid,
