http_method,path_template,parameter,location,total,valid,invalid,scr
POST,/api/v1/adminbasicservice/adminbasic/stations,id,body,2,2,0,1.0000
POST,/api/v1/adminbasicservice/adminbasic/stations,name,body,2,2,0,1.0000
POST,/api/v1/adminbasicservice/adminbasic/stations,stayTime,body,2,2,0,1.0000
POST,/api/v1/adminbasicservice/adminbasic/trains,averageSpeed,body,20,20,0,1.0000
POST,/api/v1/adminbasicservice/adminbasic/trains,confortClass,body,20,19,1,0.9500
POST,/api/v1/adminbasicservice/adminbasic/trains,economyClass,body,20,19,1,0.9500
POST,/api/v1/adminbasicservice/adminbasic/trains,id,body,4,4,0,1.0000
POST,/api/v1/adminorderservice/adminorder,accountId,body,2,2,0,1.0000
POST,/api/v1/adminorderservice/adminorder,boughtDate,body,5,5,0,1.0000
POST,/api/v1/adminorderservice/adminorder,coachNumber,body,20,20,0,1.0000
POST,/api/v1/adminorderservice/adminorder,contactsDocumentNumber,body,2,2,0,1.0000
POST,/api/v1/adminorderservice/adminorder,contactsName,body,8,8,0,1.0000
POST,/api/v1/adminorderservice/adminorder,differenceMoney,body,1,1,0,1.0000
POST,/api/v1/adminorderservice/adminorder,documentType,body,20,20,0,1.0000
POST,/api/v1/adminorderservice/adminorder,from,body,3,3,0,1.0000
POST,/api/v1/adminorderservice/adminorder,id,body,2,2,0,1.0000
POST,/api/v1/adminorderservice/adminorder,price,body,5,4,1,0.8000
POST,/api/v1/adminorderservice/adminorder,seatClass,body,20,19,1,0.9500
POST,/api/v1/adminorderservice/adminorder,seatNumber,body,6,6,0,1.0000
POST,/api/v1/adminorderservice/adminorder,status,body,20,20,0,1.0000
POST,/api/v1/adminorderservice/adminorder,to,body,5,5,0,1.0000
POST,/api/v1/adminorderservice/adminorder,trainNumber,body,6,6,0,1.0000
POST,/api/v1/adminorderservice/adminorder,travelDate,body,2,2,0,1.0000
POST,/api/v1/adminorderservice/adminorder,travelTime,body,5,5,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,distanceList,body,15,15,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,endStation,body,15,15,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,id,body,15,15,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,loginId,body,15,15,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,startStation,body,15,15,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,stationList,body,15,15,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,boughtDateEnd,body,1,1,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,boughtDateStart,body,2,2,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,enableBoughtDateQuery,body,20,20,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,enableStateQuery,body,20,20,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,enableTravelDateQuery,body,20,20,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,loginId,body,2,2,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,state,body,20,19,1,0.9500
POST,/api/v1/orderOtherService/orderOther/refresh,travelDateEnd,body,6,6,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,travelDateStart,body,3,3,0,1.0000
POST,/api/v1/travel2service/trips/left,departureTime,body,3,3,0,1.0000
POST,/api/v1/travel2service/trips/left,endPlace,body,2,2,0,1.0000
POST,/api/v1/travel2service/trips/left,startPlace,body,1,1,0,1.0000
POST,/api/v1/travelplanservice/travelPlan/cheapest,departureTime,body,7,7,0,1.0000
POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,body,7,7,0,1.0000
POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,body,7,7,0,1.0000
POST,/api/v1/travelservice/trips/left,departureTime,body,1,1,0,1.0000
POST,/api/v1/travelservice/trips/left,endPlace,body,1,1,0,1.0000
POST,/api/v1/travelservice/trips/left,startPlace,body,3,3,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/stations,id,body,2,2,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/stations,name,body,2,2,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/stations,stayTime,body,2,2,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,averageSpeed,body,4,4,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,confortClass,body,4,4,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,economyClass,body,4,4,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,id,body,4,4,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,name,body,4,4,0,1.0000
PUT,/api/v1/consignservice/consigns,accountId,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,consignee,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,from,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,handleDate,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,id,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,orderId,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,phone,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,targetDate,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,to,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,weight,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,within,body,20,20,0,1.0000
