scenario,test_method,step_idx,http_method,path,parameter,stem,value,resolvable
Flow_Scenario_1,test_positive_flow_S1_v1,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_11,false
Flow_Scenario_1,test_positive_flow_S1_v2,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_7,false
Flow_Scenario_1,test_positive_flow_S1_v3,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_3,false
Flow_Scenario_1,test_positive_flow_S1_v4,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_2,false
Flow_Scenario_1,test_positive_flow_S1_v5,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,test282,false
Flow_Scenario_1,test_positive_flow_S1_v6,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_9,false
Flow_Scenario_1,test_positive_flow_S1_v7,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_11,false
Flow_Scenario_1,test_positive_flow_S1_v8,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_10,false
Flow_Scenario_1,test_positive_flow_S1_v9,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_11,false
Flow_Scenario_1,test_positive_flow_S1_v10,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,test810,false
Flow_Scenario_1,test_positive_flow_S1_v11,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_11,false
Flow_Scenario_1,test_positive_flow_S1_v12,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_8,false
Flow_Scenario_1,test_positive_flow_S1_v13,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_11,false
Flow_Scenario_1,test_positive_flow_S1_v14,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_7,false
Flow_Scenario_1,test_positive_flow_S1_v15,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_6,false
Flow_Scenario_1,test_positive_flow_S1_v16,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_12,false
Flow_Scenario_1,test_positive_flow_S1_v17,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_3,false
Flow_Scenario_1,test_positive_flow_S1_v18,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_1,false
Flow_Scenario_1,test_positive_flow_S1_v19,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_8,false
Flow_Scenario_1,test_positive_flow_S1_v20,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,FALLBACK_loginId_0,false
Flow_Scenario_1472,test_positive_flow_S1472_v1,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,test576,false
Flow_Scenario_1472,test_positive_flow_S1472_v2,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,0b23bd3e-876a-4af3-b920-c50a90c90b04,false
Flow_Scenario_1474,test_positive_flow_S1474_v1,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_5,false
Flow_Scenario_1474,test_positive_flow_S1474_v2,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_3,false
Flow_Scenario_1474,test_positive_flow_S1474_v3,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_12,false
Flow_Scenario_1474,test_positive_flow_S1474_v4,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,test679,false
Flow_Scenario_1474,test_positive_flow_S1474_v5,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_12,false
Flow_Scenario_1474,test_positive_flow_S1474_v6,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_4,false
Flow_Scenario_1474,test_positive_flow_S1474_v7,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,test576,false
Flow_Scenario_1474,test_positive_flow_S1474_v8,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,test576,false
Flow_Scenario_1474,test_positive_flow_S1474_v9,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_1,false
Flow_Scenario_1474,test_positive_flow_S1474_v10,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_3,false
Flow_Scenario_1474,test_positive_flow_S1474_v11,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_7,false
Flow_Scenario_1474,test_positive_flow_S1474_v12,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_1,false
Flow_Scenario_1474,test_positive_flow_S1474_v13,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_2,false
Flow_Scenario_1474,test_positive_flow_S1474_v14,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,test679,false
Flow_Scenario_1474,test_positive_flow_S1474_v15,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_2,false
Flow_Scenario_1474,test_positive_flow_S1474_v16,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_9,false
Flow_Scenario_1474,test_positive_flow_S1474_v17,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_16,false
Flow_Scenario_1474,test_positive_flow_S1474_v18,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_9,false
Flow_Scenario_1474,test_positive_flow_S1474_v19,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_3,false
Flow_Scenario_1474,test_positive_flow_S1474_v20,2,POST,/api/v1/adminbasicservice/adminbasic/trains,id,,FALLBACK_id_4,false
Flow_Scenario_1621,test_positive_flow_S1621_v1,2,PUT,/api/v1/consignservice/consigns,accountId,account,acc9976,false
Flow_Scenario_1621,test_positive_flow_S1621_v1,2,PUT,/api/v1/consignservice/consigns,id,,test576,false
Flow_Scenario_1621,test_positive_flow_S1621_v1,2,PUT,/api/v1/consignservice/consigns,orderId,order,test947,false
Flow_Scenario_1621,test_positive_flow_S1621_v2,2,PUT,/api/v1/consignservice/consigns,accountId,account,test710,false
Flow_Scenario_1621,test_positive_flow_S1621_v2,2,PUT,/api/v1/consignservice/consigns,id,,0b23bd3e-876a-4af3-b920-c50a90c90b04,false
Flow_Scenario_1621,test_positive_flow_S1621_v2,2,PUT,/api/v1/consignservice/consigns,orderId,order,test947,false
Flow_Scenario_1621,test_positive_flow_S1621_v3,2,PUT,/api/v1/consignservice/consigns,accountId,account,test710,false
Flow_Scenario_1621,test_positive_flow_S1621_v3,2,PUT,/api/v1/consignservice/consigns,id,,0b23bd3e-876a-4af3-b920-c50a90c90b04,false
Flow_Scenario_1621,test_positive_flow_S1621_v3,2,PUT,/api/v1/consignservice/consigns,orderId,order,test947,false
Flow_Scenario_1621,test_positive_flow_S1621_v4,2,PUT,/api/v1/consignservice/consigns,accountId,account,test710,false
Flow_Scenario_1621,test_positive_flow_S1621_v4,2,PUT,/api/v1/consignservice/consigns,id,,test576,false
Flow_Scenario_1621,test_positive_flow_S1621_v4,2,PUT,/api/v1/consignservice/consigns,orderId,order,test947,false
Flow_Scenario_1621,test_positive_flow_S1621_v5,2,PUT,/api/v1/consignservice/consigns,accountId,account,acc9976,false
Flow_Scenario_1621,test_positive_flow_S1621_v5,2,PUT,/api/v1/consignservice/consigns,id,,0b23bd3e-876a-4af3-b920-c50a90c90b04,false
Flow_Scenario_1621,test_positive_flow_S1621_v5,2,PUT,/api/v1/consignservice/consigns,orderId,order,test947,false
Flow_Scenario_1621,test_positive_flow_S1621_v6,2,PUT,/api/v1/consignservice/consigns,accountId,account,acc9976,false
Flow_Scenario_1621,test_positive_flow_S1621_v6,2,PUT,/api/v1/consignservice/consigns,id,,test576,false
Flow_Scenario_1621,test_positive_flow_S1621_v6,2,PUT,/api/v1/consignservice/consigns,orderId,order,test947,false
Flow_Scenario_1621,test_positive_flow_S1621_v7,2,PUT,/api/v1/consignservice/consigns,accountId,account,test710,false
Flow_Scenario_1621,test_positive_flow_S1621_v7,2,PUT,/api/v1/consignservice/consigns,id,,test576,false
Flow_Scenario_1621,test_positive_flow_S1621_v7,2,PUT,/api/v1/consignservice/consigns,orderId,order,test947,false
Flow_Scenario_1621,test_positive_flow_S1621_v8,2,PUT,/api/v1/consignservice/consigns,accountId,account,test710,false
Flow_Scenario_1621,test_positive_flow_S1621_v8,2,PUT,/api/v1/consignservice/consigns,id,,test576,false
Flow_Scenario_1621,test_positive_flow_S1621_v8,2,PUT,/api/v1/consignservice/consigns,orderId,order,test947,false
Flow_Scenario_1621,test_positive_flow_S1621_v9,2,PUT,/api/v1/consignservice/consigns,accountId,account,acc9976,false
Flow_Scenario_1621,test_positive_flow_S1621_v9,2,PUT,/api/v1/consignservice/consigns,id,,test576,false
Flow_Scenario_1621,test_positive_flow_S1621_v9,2,PUT,/api/v1/consignservice/consigns,orderId,order,test947,false
Flow_Scenario_1621,test_positive_flow_S1621_v10,2,PUT,/api/v1/consignservice/consigns,accountId,account,test710,false
Flow_Scenario_1621,test_positive_flow_S1621_v10,2,PUT,/api/v1/consignservice/consigns,id,,test576,false
Flow_Scenario_1621,test_positive_flow_S1621_v10,2,PUT,/api/v1/consignservice/consigns,orderId,order,test947,false
Flow_Scenario_1621,test_positive_flow_S1621_v11,2,PUT,/api/v1/consignservice/consigns,accountId,account,test710,false
Flow_Scenario_1621,test_positive_flow_S1621_v11,2,PUT,/api/v1/consignservice/consigns,id,,test576,false
Flow_Scenario_1621,test_positive_flow_S1621_v11,2,PUT,/api/v1/consignservice/consigns,orderId,order,test947,false
Flow_Scenario_1621,test_positive_flow_S1621_v12,2,PUT,/api/v1/consignservice/consigns,accountId,account,test710,false
Flow_Scenario_1621,test_positive_flow_S1621_v12,2,PUT,/api/v1/consignservice/consigns,id,,0b23bd3e-876a-4af3-b920-c50a90c90b04,false
Flow_Scenario_1621,test_positive_flow_S1621_v12,2,PUT,/api/v1/consignservice/consigns,orderId,order,test947,false
Flow_Scenario_1621,test_positive_flow_S1621_v13,2,PUT,/api/v1/consignservice/consigns,accountId,account,acc9976,false
Flow_Scenario_1621,test_positive_flow_S1621_v13,2,PUT,/api/v1/consignservice/consigns,id,,test576,false
Flow_Scenario_1621,test_positive_flow_S1621_v13,2,PUT,/api/v1/consignservice/consigns,orderId,order,test947,false
