http_method,path,parameter,location,total,classes_total,classes_covered,epc,missing_classes
POST,/api/v1/adminbasicservice/adminbasic/stations,id,body,20,4,2,0.5000,empty|long
POST,/api/v1/adminbasicservice/adminbasic/stations,name,body,20,4,2,0.5000,empty|long
POST,/api/v1/adminbasicservice/adminbasic/stations,stayTime,body,20,3,1,0.3333,zero|negative
POST,/api/v1/adminbasicservice/adminbasic/trains,averageSpeed,body,20,3,2,0.6667,negative
POST,/api/v1/adminbasicservice/adminbasic/trains,confortClass,body,20,3,2,0.6667,negative
POST,/api/v1/adminbasicservice/adminbasic/trains,economyClass,body,20,3,2,0.6667,negative
POST,/api/v1/adminbasicservice/adminbasic/trains,id,body,20,4,2,0.5000,empty|long
POST,/api/v1/adminbasicservice/adminbasic/trains,name,body,20,4,2,0.5000,empty|long
POST,/api/v1/adminorderservice/adminorder,accountId,body,24,4,2,0.5000,empty|long
POST,/api/v1/adminorderservice/adminorder,boughtDate,body,30,4,1,0.2500,empty|short|long
POST,/api/v1/adminorderservice/adminorder,coachNumber,body,31,3,1,0.3333,zero|negative
POST,/api/v1/adminorderservice/adminorder,contactsDocumentNumber,body,26,4,1,0.2500,empty|short|long
POST,/api/v1/adminorderservice/adminorder,contactsName,body,31,4,2,0.5000,empty|long
POST,/api/v1/adminorderservice/adminorder,differenceMoney,body,29,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,documentType,body,31,3,2,0.6667,negative
POST,/api/v1/adminorderservice/adminorder,from,body,23,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,id,body,31,4,2,0.5000,empty|long
POST,/api/v1/adminorderservice/adminorder,price,body,30,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,seatClass,body,31,3,1,0.3333,zero|negative
POST,/api/v1/adminorderservice/adminorder,seatNumber,body,31,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,status,body,31,3,2,0.6667,negative
POST,/api/v1/adminorderservice/adminorder,to,body,28,4,2,0.5000,empty|long
POST,/api/v1/adminorderservice/adminorder,trainNumber,body,31,4,2,0.5000,empty|long
POST,/api/v1/adminorderservice/adminorder,travelDate,body,30,4,1,0.2500,empty|short|long
POST,/api/v1/adminorderservice/adminorder,travelTime,body,31,4,1,0.2500,empty|medium|long
POST,/api/v1/adminrouteservice/adminroute,distanceList,body,20,4,2,0.5000,empty|long
POST,/api/v1/adminrouteservice/adminroute,endStation,body,20,4,2,0.5000,empty|long
POST,/api/v1/adminrouteservice/adminroute,id,body,20,4,2,0.5000,empty|long
POST,/api/v1/adminrouteservice/adminroute,loginId,body,20,4,1,0.2500,empty|short|long
POST,/api/v1/adminrouteservice/adminroute,startStation,body,20,4,2,0.5000,empty|long
POST,/api/v1/adminrouteservice/adminroute,stationList,body,20,4,2,0.5000,empty|short
POST,/api/v1/orderOtherService/orderOther/refresh,boughtDateEnd,body,20,4,1,0.2500,empty|short|long
POST,/api/v1/orderOtherService/orderOther/refresh,boughtDateStart,body,18,4,1,0.2500,empty|short|long
POST,/api/v1/orderOtherService/orderOther/refresh,enableBoughtDateQuery,body,20,2,2,1.0000,
POST,/api/v1/orderOtherService/orderOther/refresh,enableStateQuery,body,20,2,2,1.0000,
POST,/api/v1/orderOtherService/orderOther/refresh,enableTravelDateQuery,body,20,2,2,1.0000,
POST,/api/v1/orderOtherService/orderOther/refresh,loginId,body,20,4,2,0.5000,empty|long
POST,/api/v1/orderOtherService/orderOther/refresh,state,body,20,3,2,0.6667,negative
POST,/api/v1/orderOtherService/orderOther/refresh,travelDateEnd,body,18,4,1,0.2500,empty|short|long
POST,/api/v1/orderOtherService/orderOther/refresh,travelDateStart,body,19,4,1,0.2500,empty|short|long
POST,/api/v1/travel2service/trips/left,departureTime,body,20,3,1,0.3333,empty|format_violating
POST,/api/v1/travel2service/trips/left,endPlace,body,19,4,1,0.2500,empty|medium|long
POST,/api/v1/travel2service/trips/left,startPlace,body,18,4,1,0.2500,empty|medium|long
POST,/api/v1/travelplanservice/travelPlan/cheapest,departureTime,body,20,3,1,0.3333,empty|format_violating
POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,body,20,4,1,0.2500,empty|medium|long
POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,body,20,4,1,0.2500,empty|medium|long
POST,/api/v1/travelservice/trips/left,departureTime,body,20,3,1,0.3333,empty|format_violating
POST,/api/v1/travelservice/trips/left,endPlace,body,18,4,1,0.2500,empty|medium|long
POST,/api/v1/travelservice/trips/left,startPlace,body,20,4,1,0.2500,empty|medium|long
