http_method,path,parameter,location,total_values,distinct_values,shannon_bits,shannon_normalised,simpson_diversity
POST,/api/v1/adminbasicservice/adminbasic/stations,id,body,20,16,3.9219,0.9074,0.9300
POST,/api/v1/adminbasicservice/adminbasic/stations,name,body,20,10,3.0037,0.6950,0.8500
POST,/api/v1/adminbasicservice/adminbasic/stations,stayTime,body,20,10,2.5610,0.5926,0.7200
POST,/api/v1/adminbasicservice/adminbasic/trains,averageSpeed,body,20,14,3.6842,0.8524,0.9150
POST,/api/v1/adminbasicservice/adminbasic/trains,confortClass,body,20,12,3.4842,0.8062,0.9050
POST,/api/v1/adminbasicservice/adminbasic/trains,economyClass,body,20,14,3.6842,0.8524,0.9150
POST,/api/v1/adminbasicservice/adminbasic/trains,id,body,20,19,4.2219,0.9769,0.9450
POST,/api/v1/adminbasicservice/adminbasic/trains,name,body,20,19,4.2219,0.9769,0.9450
POST,/api/v1/adminorderservice/adminorder,accountId,body,24,8,2.5826,0.5633,0.7951
POST,/api/v1/adminorderservice/adminorder,boughtDate,body,30,11,3.1874,0.6496,0.8756
POST,/api/v1/adminorderservice/adminorder,coachNumber,body,31,9,2.8648,0.5783,0.8450
POST,/api/v1/adminorderservice/adminorder,contactsDocumentNumber,body,26,7,2.3434,0.4985,0.7574
POST,/api/v1/adminorderservice/adminorder,contactsName,body,31,12,3.2361,0.6532,0.8720
POST,/api/v1/adminorderservice/adminorder,differenceMoney,body,29,11,3.1593,0.6503,0.8656
POST,/api/v1/adminorderservice/adminorder,documentType,body,31,9,2.9700,0.5995,0.8554
POST,/api/v1/adminorderservice/adminorder,from,body,23,10,3.0136,0.6662,0.8544
POST,/api/v1/adminorderservice/adminorder,id,body,31,13,3.2281,0.6516,0.8595
POST,/api/v1/adminorderservice/adminorder,price,body,30,12,3.1186,0.6356,0.8467
POST,/api/v1/adminorderservice/adminorder,seatClass,body,31,10,3.0544,0.6165,0.8637
POST,/api/v1/adminorderservice/adminorder,seatNumber,body,31,11,2.9164,0.5887,0.8158
POST,/api/v1/adminorderservice/adminorder,status,body,31,10,2.8268,0.5706,0.8200
POST,/api/v1/adminorderservice/adminorder,to,body,28,12,3.3258,0.6918,0.8852
POST,/api/v1/adminorderservice/adminorder,trainNumber,body,31,15,3.6278,0.7323,0.9053
POST,/api/v1/adminorderservice/adminorder,travelDate,body,30,10,3.0812,0.6279,0.8644
POST,/api/v1/adminorderservice/adminorder,travelTime,body,31,10,2.9938,0.6043,0.8533
POST,/api/v1/adminrouteservice/adminroute,distanceList,body,20,2,0.2864,0.0663,0.0950
POST,/api/v1/adminrouteservice/adminroute,endStation,body,20,6,1.9805,0.4582,0.6700
POST,/api/v1/adminrouteservice/adminroute,id,body,20,10,2.5610,0.5926,0.7200
POST,/api/v1/adminrouteservice/adminroute,loginId,body,20,1,0.0000,0.0000,0.0000
POST,/api/v1/adminrouteservice/adminroute,startStation,body,20,5,1.6784,0.3883,0.6200
POST,/api/v1/adminrouteservice/adminroute,stationList,body,20,10,2.5610,0.5926,0.7200
POST,/api/v1/orderOtherService/orderOther/refresh,boughtDateEnd,body,20,11,3.1660,0.7325,0.8650
POST,/api/v1/orderOtherService/orderOther/refresh,boughtDateStart,body,18,10,3.0860,0.7401,0.8642
POST,/api/v1/orderOtherService/orderOther/refresh,enableBoughtDateQuery,body,20,2,1.0000,0.2314,0.5000
POST,/api/v1/orderOtherService/orderOther/refresh,enableStateQuery,body,20,2,0.9710,0.2247,0.4800
POST,/api/v1/orderOtherService/orderOther/refresh,enableTravelDateQuery,body,20,2,1.0000,0.2314,0.5000
POST,/api/v1/orderOtherService/orderOther/refresh,loginId,body,20,11,3.2842,0.7599,0.8850
POST,/api/v1/orderOtherService/orderOther/refresh,state,body,20,13,3.5842,0.8293,0.9100
POST,/api/v1/orderOtherService/orderOther/refresh,travelDateEnd,body,18,10,3.1699,0.7602,0.8765
POST,/api/v1/orderOtherService/orderOther/refresh,travelDateStart,body,19,12,3.5111,0.8265,0.9086
POST,/api/v1/travel2service/trips/left,departureTime,body,20,12,3.4219,0.7918,0.8950
POST,/api/v1/travel2service/trips/left,endPlace,body,19,12,3.4714,0.8172,0.9030
POST,/api/v1/travel2service/trips/left,startPlace,body,18,12,3.4613,0.8301,0.9012
POST,/api/v1/travelplanservice/travelPlan/cheapest,departureTime,body,20,10,2.9464,0.6817,0.8350
POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,body,20,4,1.7822,0.4124,0.6750
POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,body,20,5,2.0190,0.4672,0.7200
POST,/api/v1/travelservice/trips/left,departureTime,body,20,12,3.3842,0.7830,0.8900
POST,/api/v1/travelservice/trips/left,endPlace,body,18,11,3.3083,0.7934,0.8889
POST,/api/v1/travelservice/trips/left,startPlace,body,20,10,3.1464,0.7280,0.8750
PUT,/api/v1/adminbasicservice/adminbasic/stations,id,body,49,28,4.5386,0.8083,0.9479
PUT,/api/v1/adminbasicservice/adminbasic/stations,name,body,49,12,2.9402,0.5237,0.8397
PUT,/api/v1/adminbasicservice/adminbasic/stations,stayTime,body,49,10,3.2013,0.5702,0.8813
PUT,/api/v1/adminbasicservice/adminbasic/trains,averageSpeed,body,99,9,2.1003,0.3168,0.6012
PUT,/api/v1/adminbasicservice/adminbasic/trains,confortClass,body,99,10,2.3553,0.3553,0.6585
PUT,/api/v1/adminbasicservice/adminbasic/trains,economyClass,body,99,11,2.6016,0.3924,0.7105
PUT,/api/v1/adminbasicservice/adminbasic/trains,id,body,99,23,3.8686,0.5836,0.9079
PUT,/api/v1/adminbasicservice/adminbasic/trains,name,body,99,11,1.6238,0.2449,0.4800
PUT,/api/v1/consignservice/consigns,accountId,body,20,4,1.3568,0.3139,0.4800
PUT,/api/v1/consignservice/consigns,consignee,body,20,7,1.6568,0.3833,0.4950
PUT,/api/v1/consignservice/consigns,from,body,20,8,1.9166,0.4435,0.5600
PUT,/api/v1/consignservice/consigns,handleDate,body,20,10,2.4192,0.5598,0.6750
PUT,/api/v1/consignservice/consigns,id,body,20,8,1.9166,0.4435,0.5600
PUT,/api/v1/consignservice/consigns,orderId,body,20,1,0.0000,0.0000,0.0000
PUT,/api/v1/consignservice/consigns,phone,body,20,1,0.0000,0.0000,0.0000
PUT,/api/v1/consignservice/consigns,targetDate,body,20,7,1.6568,0.3833,0.4950
PUT,/api/v1/consignservice/consigns,to,body,20,2,0.8813,0.2039,0.4200
PUT,/api/v1/consignservice/consigns,weight,body,20,4,0.8476,0.1961,0.2700
PUT,/api/v1/consignservice/consigns,within,body,20,2,0.8113,0.1877,0.3750
