log_file,request_id,model,prompt_category,parameter,type,format,value,status,violations
llm-communication-20260505-225616.log,2,deepseek-chat,simple_gen,boughtDateEnd,string,,2024-12-31,valid,
llm-communication-20260505-225616.log,4,deepseek-chat,diverse_gen,boughtDateEnd,string,,2025-01-15,valid,
llm-communication-20260505-225616.log,4,deepseek-chat,diverse_gen,boughtDateEnd,string,,2024-11-30,valid,
llm-communication-20260505-225616.log,4,deepseek-chat,diverse_gen,boughtDateEnd,string,,2025-03-20,valid,
llm-communication-20260505-225616.log,4,deepseek-chat,diverse_gen,boughtDateEnd,string,,2024-08-15,valid,
llm-communication-20260505-225616.log,4,deepseek-chat,diverse_gen,boughtDateEnd,string,,2025-06-01,valid,
llm-communication-20260505-225616.log,4,deepseek-chat,diverse_gen,boughtDateEnd,string,,2024-09-10,valid,
llm-communication-20260505-225616.log,4,deepseek-chat,diverse_gen,boughtDateEnd,string,,2025-05-25,valid,
llm-communication-20260505-225616.log,4,deepseek-chat,diverse_gen,boughtDateEnd,string,,2024-10-05,valid,
llm-communication-20260505-225616.log,4,deepseek-chat,diverse_gen,boughtDateEnd,string,,2025-02-28,valid,
llm-communication-20260505-225616.log,5,deepseek-chat,positive_gen,boughtDateEnd,string,,2026-05-06,valid,
llm-communication-20260505-225616.log,5,deepseek-chat,positive_gen,boughtDateEnd,string,,2026-05-12,valid,
llm-communication-20260505-225616.log,5,deepseek-chat,positive_gen,boughtDateEnd,string,,2026-05-18,valid,
llm-communication-20260505-225616.log,5,deepseek-chat,positive_gen,boughtDateEnd,string,,2026-05-25,valid,
llm-communication-20260505-225616.log,5,deepseek-chat,positive_gen,boughtDateEnd,string,,2026-06-01,valid,
llm-communication-20260505-225616.log,6,deepseek-chat,positive_gen,boughtDateEnd,string,,2026-05-10,valid,
llm-communication-20260505-225616.log,6,deepseek-chat,positive_gen,boughtDateEnd,string,,2026-05-15,valid,
llm-communication-20260505-225616.log,6,deepseek-chat,positive_gen,boughtDateEnd,string,,2026-05-20,valid,
llm-communication-20260505-225616.log,6,deepseek-chat,positive_gen,boughtDateEnd,string,,2026-05-25,valid,
llm-communication-20260505-225616.log,6,deepseek-chat,positive_gen,boughtDateEnd,string,,2026-05-30,valid,
llm-communication-20260505-225616.log,6,deepseek-chat,positive_gen,boughtDateEnd,string,,2026-06-01,valid,
llm-communication-20260505-225616.log,6,deepseek-chat,positive_gen,boughtDateEnd,string,,2026-06-04,valid,
llm-communication-20260505-225616.log,8,deepseek-chat,simple_gen,boughtDateStart,string,,2023-08-15,valid,
llm-communication-20260505-225616.log,10,deepseek-chat,diverse_gen,boughtDateStart,string,,2023-08-16,valid,
llm-communication-20260505-225616.log,10,deepseek-chat,diverse_gen,boughtDateStart,string,,2023-08-14,valid,
llm-communication-20260505-225616.log,10,deepseek-chat,diverse_gen,boughtDateStart,string,,2023-07-15,valid,
llm-communication-20260505-225616.log,10,deepseek-chat,diverse_gen,boughtDateStart,string,,2023-09-15,valid,
llm-communication-20260505-225616.log,10,deepseek-chat,diverse_gen,boughtDateStart,string,,2022-08-15,valid,
llm-communication-20260505-225616.log,10,deepseek-chat,diverse_gen,boughtDateStart,string,,2024-08-15,valid,
llm-communication-20260505-225616.log,10,deepseek-chat,diverse_gen,boughtDateStart,string,,2023-08-01,valid,
llm-communication-20260505-225616.log,10,deepseek-chat,diverse_gen,boughtDateStart,string,,2023-08-31,valid,
llm-communication-20260505-225616.log,10,deepseek-chat,diverse_gen,boughtDateStart,string,,2023-06-15,valid,
llm-communication-20260505-225616.log,11,deepseek-chat,positive_gen,boughtDateStart,string,,2026-05-06,valid,
llm-communication-20260505-225616.log,11,deepseek-chat,positive_gen,boughtDateStart,string,,2026-05-10,valid,
llm-communication-20260505-225616.log,11,deepseek-chat,positive_gen,boughtDateStart,string,,2026-05-15,valid,
llm-communication-20260505-225616.log,11,deepseek-chat,positive_gen,boughtDateStart,string,,2026-05-20,valid,
llm-communication-20260505-225616.log,11,deepseek-chat,positive_gen,boughtDateStart,string,,2026-05-25,valid,
llm-communication-20260505-225616.log,12,deepseek-chat,positive_gen,boughtDateStart,string,,2026-05-06,valid,
llm-communication-20260505-225616.log,12,deepseek-chat,positive_gen,boughtDateStart,string,,2026-05-10,valid,
llm-communication-20260505-225616.log,12,deepseek-chat,positive_gen,boughtDateStart,string,,2026-05-15,valid,
llm-communication-20260505-225616.log,12,deepseek-chat,positive_gen,boughtDateStart,string,,2026-05-20,valid,
llm-communication-20260505-225616.log,12,deepseek-chat,positive_gen,boughtDateStart,string,,2026-05-25,valid,
llm-communication-20260505-225616.log,12,deepseek-chat,positive_gen,boughtDateStart,string,,2026-05-30,valid,
llm-communication-20260505-225616.log,12,deepseek-chat,positive_gen,boughtDateStart,string,,2026-06-04,valid,
llm-communication-20260505-225616.log,13,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,true,valid,
llm-communication-20260505-225616.log,13,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,false,valid,
llm-communication-20260505-225616.log,13,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,true,valid,
llm-communication-20260505-225616.log,13,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,false,valid,
llm-communication-20260505-225616.log,13,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,true,valid,
llm-communication-20260505-225616.log,15,deepseek-chat,simple_gen,enableBoughtDateQuery,boolean,,true,valid,
llm-communication-20260505-225616.log,17,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,true,valid,
llm-communication-20260505-225616.log,17,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,false,valid,
llm-communication-20260505-225616.log,17,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,true,valid,
llm-communication-20260505-225616.log,17,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,false,valid,
