http_method,path_template,parameter,location,total,valid,invalid,scr
POST,/api/v1/adminbasicservice/adminbasic/stations,id,body,20,20,0,1.0000
POST,/api/v1/adminbasicservice/adminbasic/stations,name,body,20,20,0,1.0000
POST,/api/v1/adminbasicservice/adminbasic/stations,stayTime,body,20,20,0,1.0000
POST,/api/v1/adminbasicservice/adminbasic/trains,averageSpeed,body,20,20,0,1.0000
POST,/api/v1/adminbasicservice/adminbasic/trains,confortClass,body,20,20,0,1.0000
POST,/api/v1/adminbasicservice/adminbasic/trains,economyClass,body,20,20,0,1.0000
POST,/api/v1/adminbasicservice/adminbasic/trains,id,body,20,20,0,1.0000
POST,/api/v1/adminbasicservice/adminbasic/trains,name,body,20,20,0,1.0000
POST,/api/v1/adminorderservice/adminorder,accountId,body,24,24,0,1.0000
POST,/api/v1/adminorderservice/adminorder,boughtDate,body,30,30,0,1.0000
POST,/api/v1/adminorderservice/adminorder,coachNumber,body,31,31,0,1.0000
POST,/api/v1/adminorderservice/adminorder,contactsDocumentNumber,body,26,26,0,1.0000
POST,/api/v1/adminorderservice/adminorder,contactsName,body,31,31,0,1.0000
POST,/api/v1/adminorderservice/adminorder,differenceMoney,body,29,29,0,1.0000
POST,/api/v1/adminorderservice/adminorder,documentType,body,31,31,0,1.0000
POST,/api/v1/adminorderservice/adminorder,from,body,23,23,0,1.0000
POST,/api/v1/adminorderservice/adminorder,id,body,31,31,0,1.0000
POST,/api/v1/adminorderservice/adminorder,price,body,30,30,0,1.0000
POST,/api/v1/adminorderservice/adminorder,seatClass,body,31,31,0,1.0000
POST,/api/v1/adminorderservice/adminorder,seatNumber,body,31,31,0,1.0000
POST,/api/v1/adminorderservice/adminorder,status,body,31,31,0,1.0000
POST,/api/v1/adminorderservice/adminorder,to,body,28,28,0,1.0000
POST,/api/v1/adminorderservice/adminorder,trainNumber,body,31,31,0,1.0000
POST,/api/v1/adminorderservice/adminorder,travelDate,body,30,30,0,1.0000
POST,/api/v1/adminorderservice/adminorder,travelTime,body,31,31,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,distanceList,body,20,20,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,endStation,body,20,20,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,id,body,20,20,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,loginId,body,20,20,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,startStation,body,20,20,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,stationList,body,20,20,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,boughtDateEnd,body,20,20,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,boughtDateStart,body,18,18,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,enableBoughtDateQuery,body,20,20,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,enableStateQuery,body,20,20,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,enableTravelDateQuery,body,20,20,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,loginId,body,20,20,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,state,body,20,20,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,travelDateEnd,body,18,18,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,travelDateStart,body,19,19,0,1.0000
POST,/api/v1/travel2service/trips/left,departureTime,body,20,20,0,1.0000
POST,/api/v1/travel2service/trips/left,endPlace,body,19,19,0,1.0000
POST,/api/v1/travel2service/trips/left,startPlace,body,18,18,0,1.0000
POST,/api/v1/travelplanservice/travelPlan/cheapest,departureTime,body,20,20,0,1.0000
POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,body,20,20,0,1.0000
POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,body,20,20,0,1.0000
POST,/api/v1/travelservice/trips/left,departureTime,body,20,20,0,1.0000
POST,/api/v1/travelservice/trips/left,endPlace,body,18,18,0,1.0000
POST,/api/v1/travelservice/trips/left,startPlace,body,20,20,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/stations,id,body,49,49,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/stations,name,body,49,49,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/stations,stayTime,body,49,49,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,averageSpeed,body,99,99,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,confortClass,body,99,99,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,economyClass,body,99,99,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,id,body,99,99,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,name,body,99,99,0,1.0000
PUT,/api/v1/consignservice/consigns,accountId,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,consignee,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,from,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,handleDate,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,id,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,orderId,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,phone,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,targetDate,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,to,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,weight,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,within,body,20,20,0,1.0000
