log_file,request_id,timestamp,model,prompt_category,parameter,type,format,location,required,enum,minimum,maximum,min_length,max_length,pattern,response_index,value
llm-communication-20260502-225524.log,1,2026-05-02 22:55:33.450,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,0,2026-05-13T10:55:33Z
llm-communication-20260502-225524.log,1,2026-05-02 22:55:33.450,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,1,2026-05-19T10:55:33Z
llm-communication-20260502-225524.log,1,2026-05-02 22:55:33.450,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,2,2026-05-22T10:55:33Z
llm-communication-20260502-225524.log,1,2026-05-02 22:55:33.450,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,3,2026-05-27T10:55:33Z
llm-communication-20260502-225524.log,1,2026-05-02 22:55:33.450,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,4,2026-05-30T10:55:33Z
llm-communication-20260502-225524.log,2,2026-05-02 22:55:40.353,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,0,2026-05-03T10:55:40Z
llm-communication-20260502-225524.log,2,2026-05-02 22:55:40.353,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,1,2026-05-04T10:55:40Z
llm-communication-20260502-225524.log,2,2026-05-02 22:55:40.353,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,2,2026-05-05T10:55:40Z
llm-communication-20260502-225524.log,2,2026-05-02 22:55:40.353,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,3,2026-05-06T10:55:40Z
llm-communication-20260502-225524.log,2,2026-05-02 22:55:40.353,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,4,2026-05-07T10:55:40Z
llm-communication-20260502-225524.log,2,2026-05-02 22:55:40.353,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,5,2026-05-08T10:55:40Z
llm-communication-20260502-225524.log,2,2026-05-02 22:55:40.353,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,6,2026-05-09T10:55:40Z
llm-communication-20260502-225524.log,2,2026-05-02 22:55:40.353,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,7,2026-05-10T10:55:40Z
llm-communication-20260502-225524.log,2,2026-05-02 22:55:40.353,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,8,2026-05-11T10:55:40Z
llm-communication-20260502-225524.log,2,2026-05-02 22:55:40.353,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,9,2026-05-12T10:55:40Z
llm-communication-20260502-225524.log,2,2026-05-02 22:55:40.353,qwen2.5-coder:14b,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,10,2026-05-13T10:55:40Z
llm-communication-20260502-225524.log,3,2026-05-02 22:55:53.087,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,0,2026-05-03T10:55:53Z
llm-communication-20260502-225524.log,3,2026-05-02 22:55:53.087,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,1,2026-05-04T10:55:53Z
llm-communication-20260502-225524.log,3,2026-05-02 22:55:53.087,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,2,2026-05-08T10:55:53Z
llm-communication-20260502-225524.log,3,2026-05-02 22:55:53.087,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,3,2026-05-15T10:55:53Z
llm-communication-20260502-225524.log,3,2026-05-02 22:55:53.087,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,4,2026-05-20T10:55:53Z
llm-communication-20260502-225524.log,4,2026-05-02 22:55:59.493,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,0,2026-05-03T22:55:59Z
llm-communication-20260502-225524.log,4,2026-05-02 22:55:59.493,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,1,2026-05-04T22:55:59Z
llm-communication-20260502-225524.log,4,2026-05-02 22:55:59.493,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,2,2026-05-05T22:55:59Z
llm-communication-20260502-225524.log,4,2026-05-02 22:55:59.493,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,3,2026-05-06T22:55:59Z
llm-communication-20260502-225524.log,4,2026-05-02 22:55:59.493,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,4,2026-05-07T22:55:59Z
llm-communication-20260502-225524.log,4,2026-05-02 22:55:59.493,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,5,2026-05-08T22:55:59Z
llm-communication-20260502-225524.log,4,2026-05-02 22:55:59.493,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,6,2026-05-09T22:55:59Z
llm-communication-20260502-225524.log,4,2026-05-02 22:55:59.493,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,7,2026-05-10T22:55:59Z
llm-communication-20260502-225524.log,4,2026-05-02 22:55:59.493,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,8,2026-05-11T22:55:59Z
llm-communication-20260502-225524.log,4,2026-05-02 22:55:59.493,qwen2.5-coder:14b,positive_gen,boughtDateStart,string,,formData,No,,,,,,,9,2026-05-12T22:55:59Z
llm-communication-20260502-225524.log,5,2026-05-02 22:56:11.125,qwen2.5-coder:14b,positive_gen,enableBoughtDateQuery,boolean,,formData,No,,,,,,,0,true
llm-communication-20260502-225524.log,5,2026-05-02 22:56:11.125,qwen2.5-coder:14b,positive_gen,enableBoughtDateQuery,boolean,,formData,No,,,,,,,1,false
llm-communication-20260502-225524.log,5,2026-05-02 22:56:11.125,qwen2.5-coder:14b,positive_gen,enableBoughtDateQuery,boolean,,formData,No,,,,,,,2,true
llm-communication-20260502-225524.log,5,2026-05-02 22:56:11.125,qwen2.5-coder:14b,positive_gen,enableBoughtDateQuery,boolean,,formData,No,,,,,,,3,false
llm-communication-20260502-225524.log,5,2026-05-02 22:56:11.125,qwen2.5-coder:14b,positive_gen,enableBoughtDateQuery,boolean,,formData,No,,,,,,,4,true
llm-communication-20260502-225524.log,6,2026-05-02 22:56:12.610,qwen2.5-coder:14b,positive_gen,enableBoughtDateQuery,boolean,,formData,No,,,,,,,0,true
