scenario,test_method,step_idx,http_method,path,parameter,stem,value,resolvable
Flow_Scenario_1,test_positive_flow_S1_v1,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,customer_1,false
Flow_Scenario_1,test_positive_flow_S1_v2,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,guest123,false
Flow_Scenario_1,test_positive_flow_S1_v3,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,user123,false
Flow_Scenario_1,test_positive_flow_S1_v4,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,john_doe456,false
Flow_Scenario_1,test_positive_flow_S1_v5,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,guest123,false
Flow_Scenario_1,test_positive_flow_S1_v6,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,jane.smith.123456,false
Flow_Scenario_1,test_positive_flow_S1_v7,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,john_doe456,false
Flow_Scenario_1,test_positive_flow_S1_v8,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,jane.smith.123456,false
Flow_Scenario_1,test_positive_flow_S1_v9,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,test_account,false
Flow_Scenario_1,test_positive_flow_S1_v10,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,admin_user,false
Flow_Scenario_1,test_positive_flow_S1_v11,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,guest123,false
Flow_Scenario_1,test_positive_flow_S1_v12,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,manager_007,false
Flow_Scenario_1,test_positive_flow_S1_v13,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,jane.smith.123456,false
Flow_Scenario_1,test_positive_flow_S1_v14,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,sample_user,false
Flow_Scenario_1,test_positive_flow_S1_v15,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,test_account,false
Flow_Scenario_1,test_positive_flow_S1_v16,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,manager_007,false
Flow_Scenario_1,test_positive_flow_S1_v17,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,user123,false
Flow_Scenario_1,test_positive_flow_S1_v18,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,john_doe456,false
Flow_Scenario_1,test_positive_flow_S1_v19,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,user_987654,false
