scenario,test_method,test_kind,step_idx,http_method,path,parameter,stem,value,provenance,classification
Flow_Scenario_1,test_positive_flow_S1_v1,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,customer_1,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v2,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,guest123,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v3,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,user123,LLM,llm
Flow_Scenario_1,test_positive_flow_S1_v4,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,john_doe456,SMART_FETCH,smart_fetch
Flow_Scenario_1,test_positive_flow_S1_v5,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,guest123,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v6,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,jane.smith.123456,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v7,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,john_doe456,SMART_FETCH,smart_fetch
Flow_Scenario_1,test_positive_flow_S1_v8,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,jane.smith.123456,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v9,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,test_account,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v10,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,admin_user,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v11,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,guest123,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v12,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,manager_007,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v13,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,jane.smith.123456,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v14,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,sample_user,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v15,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,test_account,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v16,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,manager_007,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v17,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,user123,LLM,llm
Flow_Scenario_1,test_positive_flow_S1_v18,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,john_doe456,SMART_FETCH,smart_fetch
Flow_Scenario_1,test_positive_flow_S1_v19,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,user_987654,SHARED_POOL_DRAW,shared_pool_draw
