scenario,test_method,step_idx,http_method,path,parameter,value,realistic,source
Flow_Scenario_1192,test_positive_flow_S1192_v1,2,POST,/api/v1/travelservice/trips/left,endPlace,Miami,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v2,2,POST,/api/v1/travelservice/trips/left,endPlace,Charlotte,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v2,2,POST,/api/v1/travelservice/trips/left,startPlace,changchun,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v3,2,POST,/api/v1/travelservice/trips/left,endPlace,Charlotte,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v3,2,POST,/api/v1/travelservice/trips/left,startPlace,Chicago O'Hare International Airport,true,token
Flow_Scenario_1192,test_positive_flow_S1192_v4,2,POST,/api/v1/travelservice/trips/left,endPlace,San Antonio,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v4,2,POST,/api/v1/travelservice/trips/left,startPlace,San Antonio,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v5,2,POST,/api/v1/travelservice/trips/left,endPlace,Columbus,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v5,2,POST,/api/v1/travelservice/trips/left,startPlace,Indianapolis,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v6,2,POST,/api/v1/travelservice/trips/left,endPlace,New York,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v6,2,POST,/api/v1/travelservice/trips/left,startPlace,Philadelphia,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v7,2,POST,/api/v1/travelservice/trips/left,endPlace,Houston,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v7,2,POST,/api/v1/travelservice/trips/left,startPlace,Indianapolis,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v8,2,POST,/api/v1/travelservice/trips/left,endPlace,Los Angeles,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v8,2,POST,/api/v1/travelservice/trips/left,startPlace,"shanghai,nanjing,beijing",true,token
Flow_Scenario_1192,test_positive_flow_S1192_v10,2,POST,/api/v1/travelservice/trips/left,endPlace,San Jose,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v10,2,POST,/api/v1/travelservice/trips/left,startPlace,San Jose,true,offline
Flow_Scenario_1192,test_positive_flow_S1192_v11,2,POST,/api/v1/travelservice/trips/left,endPlace,Houston,true,offline
